[   66270ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1945
[   66270ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1945
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
[   66313ms] [WARNING] Invalid keyframe value for property transform: translate3d(0px, NaNpx, 0) scale(1) @ http://127.0.0.1:5173/node_modules/.vite/deps/client-o_oYPavb.js?v=22dc7f63:1986
